,Unnamed: 0,text,term,polarity,polarity_id,label
0,0.0,I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,0,1
1,1.0,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,1,1
2,2.0,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,2,1
3,3.0,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,2,1
4,4.0,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,0,1
5,5.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,1,1
6,6.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,1,1
7,7.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,1,1
8,8.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,1,1
9,9.0,Easy to start up and does not overheat as much as other laptops.,start up,positive,1,1
10,10.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,1,1
11,11.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,1,1
12,12.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,1,1
13,13.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,1,1
14,14.0,Great laptop that offers many great features!,features,positive,1,1
15,15.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,2,1
16,16.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,2,1
17,17.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,0,1
18,18.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,2,1
19,19.0,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,0,1
20,20.0,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,1,1
21,21.0,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,2,1
22,22.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,1,1
23,23.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,1,1
24,24.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,0,1
25,25.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,0,1
26,26.0,I love the way the entire suite of software works together.,suite of software,positive,1,1
27,27.0,The speed is incredible and I am more than satisfied.,speed,positive,1,1
28,28.0,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,1,1
29,29.0,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,2,1
30,31.0,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,0,1
31,32.0,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,2,1
32,33.0,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,2,1
33,34.0,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,1,1
34,35.0,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,1,1
35,36.0,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,0,1
36,37.0,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,2,1
37,38.0,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,2,1
38,40.0,I love the operating system and the preloaded software.,operating system,positive,1,1
39,41.0,I love the operating system and the preloaded software.,preloaded software,positive,1,1
40,42.0,The best thing about this laptop is the price along with some of the newer features.,price,positive,1,1
41,43.0,The best thing about this laptop is the price along with some of the newer features.,features,positive,1,1
42,44.0,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,2,1
43,45.0,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,2,1
44,46.0,but now i have realized its a problem with this brand.,brand,negative,2,1
45,47.0,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,1,1
46,48.0,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,1,1
47,49.0,Also kinda loud when the fan was running.,fan,negative,2,1
48,50.0,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,0,1
49,51.0,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,2,1
50,52.0,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,2,1
51,53.0,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,2,1
52,54.0,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,2,1
53,55.0,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,0,1
54,56.0,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,1,1
55,57.0,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,2,1
56,58.0,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,2,1
57,59.0,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,0,1
58,60.0,"Speaking of the browser, it too has problems.",browser,negative,2,1
59,61.0,The keyboard is too slick.,keyboard,negative,2,1
60,62.0,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,0,1
61,63.0,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,2,1
62,64.0,It's just as fast with one program open as it is with sixteen open.,program,neutral,0,1
63,65.0,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,2,1
64,66.0,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,2,1
65,67.0,Amazing Quality!,Quality,positive,1,1
66,68.0,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,0,1
67,69.0,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,1,1
68,70.0,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,0,1
69,71.0,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,0,1
70,72.0,"A month or so ago, the freaking motherboard just died.",motherboard,negative,2,1
71,73.0,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,2,1
72,74.0,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,2,1
73,75.0,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,2,1
74,76.0,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,1,1
75,77.0,It rarely works and when it does it's incredibly slow.,works,negative,2,1
76,78.0,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,1,1
77,79.0,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,0,1
78,80.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,1,1
79,81.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,1,1
80,82.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,1,1
81,83.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,1,1
82,84.0,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,2,1
83,85.0,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,0,1
84,86.0,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,0,1
85,87.0,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,1,1
86,88.0,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,1,1
87,89.0,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,2,1
88,90.0,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,2,1
89,91.0,"Then, within 5 months, the charger crapped out on me.",charger,negative,2,1
90,92.0,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,1,1
91,93.0,I love the glass touchpad.,glass touchpad,positive,1,1
92,94.0,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,2,1
93,95.0,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,2,1
94,96.0,I am using the external speaker- sound is good.,external speaker,positive,1,1
95,97.0,I am using the external speaker- sound is good.,sound,positive,1,1
96,98.0,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,2,1
97,99.0,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,2,1
98,100.0,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,2,1
99,101.0,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,1,1
