,Unnamed: 0,Unnamed: 0.1,text,term,polarity,polarity_id,label,question,answer
0,0,0.0,I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,0,1,what is the sentiment of cord,The sentiment is neutral
1,1,1.0,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,1,1,what is the sentiment of battery life,The sentiment is positive
2,2,2.0,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,2,1,what is the sentiment of service center,The sentiment is negative
3,3,3.0,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,2,1,"what is the sentiment of ""sales"" team",The sentiment is negative
4,4,4.0,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,0,1,what is the sentiment of tech guy,The sentiment is neutral
5,5,5.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,1,1,what is the sentiment of quality,The sentiment is positive
6,6,6.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,1,1,what is the sentiment of GUI,The sentiment is positive
7,7,7.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,1,1,what is the sentiment of applications,The sentiment is positive
8,8,8.0,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,1,1,what is the sentiment of use,The sentiment is positive
9,9,9.0,Easy to start up and does not overheat as much as other laptops.,start up,positive,1,1,what is the sentiment of start up,The sentiment is positive
10,10,10.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,1,1,what is the sentiment of features,The sentiment is positive
11,11,11.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,1,1,what is the sentiment of iChat,The sentiment is positive
12,12,12.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,1,1,what is the sentiment of Photobooth,The sentiment is positive
13,13,13.0,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,1,1,what is the sentiment of garage band,The sentiment is positive
14,14,14.0,Great laptop that offers many great features!,features,positive,1,1,what is the sentiment of features,The sentiment is positive
15,15,15.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,2,1,what is the sentiment of GUI,The sentiment is negative
16,16,16.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,2,1,what is the sentiment of screen,The sentiment is negative
17,17,17.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,0,1,what is the sentiment of power light,The sentiment is neutral
18,18,18.0," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,2,1,what is the sentiment of hard drive light,The sentiment is negative
19,19,19.0,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,0,1,what is the sentiment of battery,The sentiment is neutral
