,text,term,polarity,polarity_id,label
0,But the staff was so horrible to us.,staff,negative,0,1
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,1,1
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,1,1
3,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive,1,1
4,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral,2,1
5,"Not only was the food outstanding, but the little 'perks' were great.",food,positive,1,1
6,"Not only was the food outstanding, but the little 'perks' were great.",perks,positive,1,1
7,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,1,1
8,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive,1,1
9,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral,2,1
10,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,2,1
11,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,1,1
12,Nevertheless the food itself is pretty good.,food,positive,1,1
13,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,0,1
14,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative,0,1
15,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,0,1
16,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral,2,1
17,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,0,1
18,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral,2,1
19,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral,2,1
20,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,2,1
21,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral,2,1
22,The design and atmosphere is just as good.,design,positive,1,1
23,The design and atmosphere is just as good.,atmosphere,positive,1,1
24,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,1,1
25,The pizza is the best if you like thin crusted pizza.,pizza,positive,1,1
26,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,2,1
27,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive,1,1
28,"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,0,1
29,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,0,1
30,"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,2,1
31,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,1,1
32,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,1,1
33,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,2,1
34,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,1,1
35,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,1,1
36,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,1,1
37,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,1,1
38,Faan's got a great concept but a little rough on the delivery.,delivery,negative,0,1
39,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,1,1
