,Unnamed: 0,text,term,polarity,polarity_id,label,question,answer
0,0,But the staff was so horrible to us.,staff,negative,0,1,what is the sentiment of staff,The sentiment is negative
1,1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
2,2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
3,3,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive,1,1,what is the sentiment of kitchen,The sentiment is positive
4,4,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral,2,1,what is the sentiment of menu,The sentiment is neutral
5,5,"Not only was the food outstanding, but the little 'perks' were great.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
6,6,"Not only was the food outstanding, but the little 'perks' were great.",perks,positive,1,1,what is the sentiment of perks,The sentiment is positive
7,7,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,1,1,what is the sentiment of orrechiete with sausage and chicken,The sentiment is positive
8,8,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive,1,1,what is the sentiment of waiters,The sentiment is positive
9,9,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral,2,1,what is the sentiment of meats,The sentiment is neutral
10,10,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,2,1,what is the sentiment of dish,The sentiment is neutral
11,11,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,1,1,what is the sentiment of Bagels,The sentiment is positive
12,12,Nevertheless the food itself is pretty good.,food,positive,1,1,what is the sentiment of food,The sentiment is positive
13,13,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,0,1,what is the sentiment of toast,The sentiment is negative
14,14,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative,0,1,what is the sentiment of mayonnaise,The sentiment is negative
15,15,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,0,1,what is the sentiment of bacon,The sentiment is negative
16,16,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral,2,1,what is the sentiment of cheese,The sentiment is neutral
17,17,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,0,1,what is the sentiment of ingredients,The sentiment is negative
18,18,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral,2,1,what is the sentiment of plate,The sentiment is neutral
19,19,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral,2,1,what is the sentiment of omelet,The sentiment is neutral
20,20,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,2,1,what is the sentiment of drinks,The sentiment is neutral
21,21,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral,2,1,what is the sentiment of check,The sentiment is neutral
22,22,The design and atmosphere is just as good.,design,positive,1,1,what is the sentiment of design,The sentiment is positive
23,23,The design and atmosphere is just as good.,atmosphere,positive,1,1,what is the sentiment of atmosphere,The sentiment is positive
24,24,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,1,1,what is the sentiment of cuisine,The sentiment is positive
25,25,The pizza is the best if you like thin crusted pizza.,pizza,positive,1,1,what is the sentiment of pizza,The sentiment is positive
26,26,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,2,1,what is the sentiment of thin crusted pizza,The sentiment is neutral
27,27,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive,1,1,what is the sentiment of interior decoration,The sentiment is positive
28,28,"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,0,1,what is the sentiment of chefs,The sentiment is negative
29,29,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,0,1,what is the sentiment of seats,The sentiment is negative
30,30,"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,2,1,what is the sentiment of seltzer with lime,The sentiment is neutral
31,31,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,1,1,what is the sentiment of pickles,The sentiment is positive
32,32,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,1,1,what is the sentiment of selection of meats and seafoods,The sentiment is positive
33,33,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,2,1,what is the sentiment of dishes,The sentiment is neutral
34,34,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,1,1,what is the sentiment of eat family style,The sentiment is positive
35,35,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,1,1,what is the sentiment of vibe,The sentiment is positive
36,36,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,1,1,what is the sentiment of owner,The sentiment is positive
37,37,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,1,1,what is the sentiment of service,The sentiment is positive
38,38,Faan's got a great concept but a little rough on the delivery.,delivery,negative,0,1,what is the sentiment of delivery,The sentiment is negative
39,39,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
40,40,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,1,1,what is the sentiment of atmosphere,The sentiment is positive
41,41,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,1,1,what is the sentiment of service,The sentiment is positive
42,42,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,1,1,what is the sentiment of food,The sentiment is positive
43,43,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,1,1,what is the sentiment of prices,The sentiment is positive
44,44,this little place has a cute interior decor and affordable city prices.,interior decor,positive,1,1,what is the sentiment of interior decor,The sentiment is positive
45,45,this little place has a cute interior decor and affordable city prices.,prices,positive,1,1,what is the sentiment of prices,The sentiment is positive
46,46,Two words: Free wine.,wine,positive,1,1,what is the sentiment of wine,The sentiment is positive
47,47,The price is reasonable although the service is poor.,price,positive,1,1,what is the sentiment of price,The sentiment is positive
48,48,The price is reasonable although the service is poor.,service,negative,0,1,what is the sentiment of service,The sentiment is negative
49,49,"The quantity is also very good, you will come out satisfied.",quantity,positive,1,1,what is the sentiment of quantity,The sentiment is positive
50,50,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,2,1,what is the sentiment of sushi,The sentiment is neutral
51,51,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,2,1,what is the sentiment of sushi bar,The sentiment is neutral
52,52,The fried rice is amazing here.,fried rice,positive,1,1,what is the sentiment of fried rice,The sentiment is positive
