,text,category,polarity,polarity_id,label,question,answer
0,But the staff was so horrible to us.,service,negative,0,1,which category in the text is negative,service
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,1,1,which category in the text is positive,food
2,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
3,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,1,1,which category in the text is positive,food
4,Where Gabriela personaly greets you and recommends you what to eat.,service,positive,1,1,which category in the text is positive,service
5,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
6,"Not only was the food outstanding, but the little 'perks' were great.",food,positive,1,1,which category in the text is positive,food
7,"Not only was the food outstanding, but the little 'perks' were great.",service,positive,1,1,which category in the text is positive,service
8,It is very overpriced and not very tasty.,food,negative,0,1,which category in the text is negative,food
9,It is very overpriced and not very tasty.,price,negative,0,1,which category in the text is negative,price
10,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,food,positive,1,1,which category in the text is positive,food
11,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,service,positive,1,1,which category in the text is positive,service
12,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive,1,1,which category in the text is positive,food
13,Nevertheless the food itself is pretty good.,food,positive,1,1,which category in the text is positive,food
14,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,negative,0,1,which category in the text is negative,food
15,The design and atmosphere is just as good.,ambience,positive,1,1,which category in the text is positive,ambience
16,He has visited Thailand and is quite expert on the cuisine.,food,positive,1,1,which category in the text is positive,food
17,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
18,The pizza is the best if you like thin crusted pizza.,food,positive,1,1,which category in the text is positive,food
19,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
20,"He can't help, they're bought up so fast.",anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
21,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",ambience,negative,0,1,which category in the text is negative,ambience
22,"i have eaten here a handful of times, for no reason besides sheer convenience.",anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
23,Obviously run by folks who know a pie.,service,positive,1,1,which category in the text is positive,service
24,We were very disappointed.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
25,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
26,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,price,positive,1,1,which category in the text is positive,price
27,I really liked this place.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
28,I will be going back very soon.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
29,"All the money went into the interior decoration, none of it went to the chefs.",ambience,positive,1,1,which category in the text is positive,ambience
30,"All the money went into the interior decoration, none of it went to the chefs.",food,negative,0,1,which category in the text is negative,food
31,The seats are uncomfortable if you are sitting against the wall on wooden benches.,ambience,negative,0,1,which category in the text is negative,ambience
32,"I asked for seltzer with lime, no ice.",food,neutral,2,1,which category in the text is neutral,food
33,It was pretty inexpensive too.,price,positive,1,1,which category in the text is positive,price
34,Will not be back.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
35,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive,1,1,which category in the text is positive,food
36,My suggestion is to eat family style because you'll want to try the other dishes.,food,neutral,2,1,which category in the text is neutral,food
37,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,1,1,which category in the text is positive,service
38,"Best of all is the warm vibe, the owner is super friendly and service is fast.",ambience,positive,1,1,which category in the text is positive,ambience
39,This isn't a value joint.,price,negative,0,1,which category in the text is negative,price
40,Faan's got a great concept but a little rough on the delivery.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
41,Faan's got a great concept but a little rough on the delivery.,service,negative,0,1,which category in the text is negative,service
42,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,1,1,which category in the text is positive,food
43,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,1,1,which category in the text is positive,service
